央视频道,#genre#
郑州影视戏曲,rtsp://10.254.216.130/PLTV/88888888/224/3221225832/10000100000000060000000000154399_0.smil
郑州妇女儿童,rtsp://10.254.216.130/PLTV/88888888/224/3221225831/10000100000000060000000000154400_0.smil
郑州都市生活,rtsp://10.254.216.130/PLTV/88888888/224/3221225830/10000100000000060000000000154401_0.smil
新密综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226475/10000100000000060000000004565607_0.smil?rrsip=10.253.69.222
登封综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226514/10000100000000060000000004529695_0.smil?rrsip=10.253.69.222
中牟综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226482/10000100000000060000000004565606_0.smil
巩义综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226587/170463378.smil?rrsip=10.253.69.222
新郑综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226528/10000100000000060000000004529692_0.smil?rrsip=10.253.69.222
新闻频道,rtsp://10.254.216.130/PLTV/88888888/224/3221226521/10000100000000060000000004577862_0.smil
新密综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226475/10000100000000060000000004565607_0.smil?rrsip=10.253.69.222
登封综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226514/10000100000000060000000004529695_0.smil?rrsip=10.253.69.222
中牟综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226482/10000100000000060000000004565606_0.smil
巩义综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226587/170463378.smil?rrsip=10.253.69.222
新郑综合,rtsp://10.254.199.130/PLTV/88888888/224/3221226528/10000100000000060000000004529692_0.smil?rrsip=10.253.69.222


河南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225819/10000100000000060000000000154392_0.smil
河南都市频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225836/10000100000000060000000000154415_0.smil
河南民生频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225838/10000100000000060000000000154414_0.smil
河南法治频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225818/10000100000000060000000000154393_0.smil
河南电视剧频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225837/10000100000000060000000000154413_0.smil
河南新闻频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225817/10000100000000060000000000154394_0.smil
河南公共频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225824/10000100000000060000000000154387_0.smil
河南乡村频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225816/10000100000000060000000000154395_0.smil
河南国际频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225823/10000100000000060000000000154388_0.smil
河南文物宝库,rtsp://10.254.192.94/PLTV/88888888/224/3221225821/10000100000000060000000000154390_0.smil
河南梨园频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225822/10000100000000060000000000154389_0.smil
河南武术世界,rtsp://10.254.192.94/PLTV/88888888/224/3221225820/10000100000000060000000000154391_0.smil
郑州新闻综合,rtsp://10.254.192.94/PLTV/88888888/224/3221225828/10000100000000060000000000154403_0.smil
郑州商都频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225827/10000100000000060000000000154404_0.smil
郑州文体频道,rtsp://10.254.192.94/PLTV/88888888/224/3221225826/10000100000000060000000000154405_0.smil
郑州影视戏曲,rtsp://10.254.192.94/PLTV/88888888/224/3221225832/10000100000000060000000000154399_0.smil
郑州妇女儿童,rtsp://10.254.192.94/PLTV/88888888/224/3221225831/10000100000000060000000000154400_0.smil
郑州都市生活,rtsp://10.254.192.94/PLTV/88888888/224/3221225830/10000100000000060000000000154401_0.smil


戏曲频道,#genre#
曲剧《桑林收子》,http://gcw.bdcdn.shoujiduoduo.com/v/190617/2282c7e70fc99fe1e7e065e32b1ab2b9.mp4
曲剧《四郎探母》,http://gcw.bdcdn.shoujiduoduo.com/v/191208/1aef74e8889ab9199f60927ac66b0885.mp4
曲剧《四郎探母》,http://gcw.bdcdn.shoujiduoduo.com/v/190218/c981286b5772c5c5351b202973680264.mp4
曲剧《背靴访帅》,http://gcw.bdcdn.shoujiduoduo.com/v/200831/2d7d5874b132f83b8f6d7c2e24ee3cdf.mp4
曲剧《李豁子做梦》,http://gcw.bdcdn.shoujiduoduo.com/v/191208/d1a3c9f90719f7eebdafd964b7bcb8f8.mp4
曲剧《刘公案》,http://gcw.bdcdn.shoujiduoduo.com/v/190429/2ef6445a1215cf06049cac61d72f201e.mp4
曲剧《风雪配》,http://gcw.bdcdn.shoujiduoduo.com/v/190702/3e371e8c94d2e1070319298ce2f9c2b7.mp4
名家演唱会,http://gcw.bdcdn.shoujiduoduo.com/v/190710/acb4c10132c1db9122b9fc1d9bb662e1.mp4
曲剧《十八哭》,http://gcw.bdcdn.shoujiduoduo.com/v/190304/7dc7811188639217fb8299804021325f.mp4
曲剧《王华买爹》,http://gcw.bdcdn.shoujiduoduo.com/v/190902/19ce2ae8133857ae7ffc2dbe0c674a3b.mp4
曲剧《秦香莲》全场,http://gcw.bdcdn.shoujiduoduo.com/v/190318/114d1ca4f536bc0b172ceb9ddb07eb36.mp4
曲剧《李豁子说媒》,http://gcw.bdcdn.shoujiduoduo.com/v/190404/fe8abd72959145ed7ca5b56342849b89.mp4
曲剧《卷席筒》,http://gcw.bdcdn.shoujiduoduo.com/v/190527/315a044c2b9cf3a17e2b37ef09e21cd5.mp4
曲剧小段,http://gcw.bdcdn.shoujiduoduo.com/v/190513/4a77c50ae75a653dfbf5396f45c592e3.mp4
曲剧《借簪子》全场,http://gcw.bdcdn.shoujiduoduo.com/v/190428/002d8daebc70bfbe6e809d28b55084af.mp4
曲剧《荆钗记》,http://gcw.bdcdn.shoujiduoduo.com/v/190706/f24473d42d884882617f29ab1157b8ab.mp4
曲剧《五福临门》《全场》,http://gcw.bdcdn.shoujiduoduo.com/v/200302/3b18c2c8f578035387fc737d88dd8f9e.mp4
曲剧《李豁子》选段,http://gcw.bdcdn.shoujiduoduo.com/v/201105/3e869cb57c096666978b871997e1781e.mp4
曲剧全集《惊蛰》-上集,http://gcw.bdcdn.shoujiduoduo.com/v/201105/8fb403bfce72a9ae63ec389b5c756092.mp4
曲剧《李豁子说媒》,http://gcw.bdcdn.shoujiduoduo.com/v/190325/3635fa4901fb8f63a26cf623a9c3c549.mp4
